路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
函館線,函館,旭川,423.1,423.1,0,,函館→長万部,112.3
函館線,,,,0,0,,長万部→小樽,140.2
函館線,,,,0,0,,小樽→札幌,33.8
函館線,,,,0,0,,札幌→白石,5.8
函館線,,,,0,0,,白石←旭川,131
函館線,大沼,森,35.3,35.3,0,,大沼←森,35.3
北海道新幹線,新青森,新函館北斗,148.8,148.8,0,,新青森→新函館北斗,148.8
札沼線,桑園,北海道医療大学,28.9,0,28.9,post_add,未乗,
千歳線,沼ノ端,白石,56.6,56.6,0,,沼ノ端→南千歳,18.4
千歳線,,,,0,0,,南千歳←白石,38.2
千歳線,南千歳,新千歳空港,2.6,2.6,0,,南千歳→新千歳空港,2.6
石勝線,南千歳,新得,132.4,132.4,0,,南千歳→新得,132.4
室蘭線,長万部,岩見沢,211,144,67,post_add,長万部→沼ノ端,144
室蘭線,東室蘭,室蘭,7,0,7,post_add,未乗,
日高線,苫小牧,鵡川,30.5,30.5,0,,苫小牧→鵡川,30.5
留萌線,深川,石狩沼田,14.4,14.4,0,,深川→石狩沼田,14.4
根室線,滝川,富良野,54.6,0,54.6,post_add,未乗,
根室線,新得,根室,307.5,307.5,0,,新得→釧路,172.1
(新得～根室),,,,0,0,,釧路→根室,135.4
富良野線,旭川,富良野,54.8,0,54.8,post_add,未乗,
宗谷線,旭川,稚内,259.4,259.4,0,,旭川←新旭川,3.7
宗谷線,,,,0,0,,新旭川←稚内,255.7
石北線,新旭川,網走,234,234,0,,新旭川←網走,234
釧網線,東釧路,網走,166.2,166.2,0,,東釧路→網走,166.2
東海道線,東京,熱海,104.6,104.6,0,,東京→熱海,104.6
東海道線,品川,鶴見,17.8,17.8,0,,品川→鶴見,17.8
東海道線,鶴見,羽沢横浜国大,8.8,0,8.8,post_add,未乗,
山手線,品川,田端,20.6,20.6,0,,品川→田端,20.6
赤羽線（埼京線）,池袋,赤羽,5.5,5.5,0,,池袋→赤羽,5.5
南武線,川崎,立川,35.5,35.5,0,,川崎→立川,35.5
南武線,尻手,浜川崎,4.1,4.1,0,,尻手←浜川崎,4.1
鶴見線,鶴見,扇町,7,7,0,,鶴見→扇町,7
鶴見線,武蔵白石,大川,1,1,0,,武蔵白石→大川,1
鶴見線,浅野,海芝浦,1.7,1.7,0,,浅野→海芝浦,1.7
武蔵野線,府中本町,西船橋,71.8,71.8,0,,府中本町→西船橋,71.8
横浜線,東神奈川,八王子,42.6,42.6,0,,東神奈川→八王子,42.6
根岸線,横浜,大船,22.1,22.1,0,,横浜→大船,22.1
横須賀線,大船,久里浜,23.9,23.9,0,,大船→久里浜,23.9
相模線,茅ケ崎,橋本,33.3,33.3,0,,茅ケ崎→橋本,33.3
伊東線,熱海,伊東,16.9,16.9,0,,熱海→伊東,16.9
中央線,新宿,塩尻,211.8,211.8,0,,新宿→塩尻,211.8
中央線,神田,代々木,8.3,8.3,0,,神田→代々木,8.3
中央線,岡谷,塩尻,27.7,9.5,18.2,post_add,岡谷→辰野,9.5
青梅線,立川,奥多摩,37.2,37.2,0,,立川→奥多摩,37.2
五日市線,拝島,武蔵五日市,11.1,0,11.1,post_add,未乗,
八高線,八王子,倉賀野,92,92,0,,八王子→倉賀野,92
小海線,小淵沢,小諸,78.9,78.9,0,,小淵沢→小諸,78.9
篠ノ井線,塩尻,篠ノ井,66.7,66.7,0,,塩尻→篠ノ井,66.7
大糸線,松本,南小谷,70.1,70.1,0,,松本→南小谷,70.1
東北線,東京,盛岡,535.3,535.3,0,,東京→小牛田,395
東北線,,,,0,0,,小牛田→盛岡,140.3
東北線,日暮里,赤羽,7.6,7.6,0,,日暮里→赤羽,7.6
東北線,赤羽,大宮,18,18,0,,赤羽→大宮,18
東北線,岩切,利府,4.2,4.2,0,,岩切→利府,4.2
東北線,松島,高城町,0.3,0.3,0,,松島→高城町,0.3
東北新幹線,東京,新青森,713.7,713.7,0,,東京→新青森,713.7
常磐線,日暮里,岩沼,343.7,343.7,0,,日暮里→岩沼,343.7
水郡線,水戸,安積永盛,137.5,137.5,0,,水戸→安積永盛,137.5
水郡線,上菅谷,常陸太田,9.5,0,9.5,post_add,未乗,
川越線,大宮,高麗川,30.6,30.6,0,,大宮→川越,16.1
川越線,,,,0,0,,川越→高麗川,14.5
高崎線,大宮,高崎,74.7,74.7,0,,大宮→高崎,74.7
上越線,高崎,宮内,162.6,162.6,0,,高崎→宮内,162.6
上越線,越後湯沢,ガーラ湯沢,1.8,1.8,0,,越後湯沢→ガーラ湯沢,1.8
上越新幹線,大宮,新潟,303.6,303.6,0,,大宮→新潟,303.6
吾妻線,渋川,大前,55.3,55.3,0,,渋川→長野原草津口,42
吾妻線,,,,0,0,,長野原草津口→大前,13.3
両毛線,小山,新前橋,84.4,84.4,0,,小山→新前橋,84.4
水戸線,小山,友部,50.2,50.2,0,,小山→友部,50.2
日光線,宇都宮,日光,40.5,0,40.5,post_add,未乗,
烏山線,宝積寺,烏山,20.4,0,20.4,post_add,未乗,
仙山線,仙台,羽前千歳,58,58,0,,仙台→羽前千歳,58
仙石線,あおば通,石巻,49,49,0,,あおば通→石巻,49
石巻線,小牛田,女川,44.7,44.7,0,,小牛田→女川,44.7
気仙沼線,前谷地,柳津,17.5,17.5,0,,前谷地←柳津,17.5
大船渡線,一ノ関,気仙沼,62,62,0,,一ノ関←気仙沼,62
北上線,北上,横手,61.1,61.1,0,,北上→横手,61.1
釜石線,花巻,釜石,90.2,90.2,0,,花巻←新花巻,6.4
釜石線,,,,0,0,,新花巻←釜石,83.8
田沢湖線,盛岡,大曲,75.6,75.6,0,,盛岡→大曲,75.6
山田線,盛岡,宮古,102.1,102.1,0,,盛岡→宮古,102.1
花輪線,好摩,大館,106.9,106.9,0,,好摩→大館,106.9
八戸線,八戸,久慈,64.9,64.9,0,,八戸→久慈,64.9
大湊線,野辺地,大湊,58.4,58.4,0,,野辺地→大湊,58.4
磐越東線,いわき,郡山,85.6,85.6,0,,いわき→郡山,85.6
磐越西線,郡山,新津,175.6,175.6,0,,郡山→新津,175.6
只見線,会津若松,小出,135.2,135.2,0,,会津若松→小出,135.2
奥羽線,福島,青森,484.5,484.5,0,,福島→新庄,148.6
奥羽線,,,,0,0,,新庄→大曲,98.4
奥羽線,,,,0,0,,大曲→秋田,51.7
奥羽線,,,,0,0,,秋田→青森,185.8
米坂線,米沢,坂町,90.7,23,67.7,post_add,米沢→今泉,23
左沢線,北山形,左沢,24.3,0,24.3,post_add,未乗,
男鹿線,追分,男鹿,26.4,26.4,0,,追分→男鹿,26.4
五能線,東能代,川部,147.2,147.2,0,,東能代→川部,147.2
津軽線,青森,三厩,55.8,27,28.8,post_add,青森→蟹田,27
羽越線,新津,秋田,271.7,271.7,0,,新津→秋田,271.7
白新線,新潟,新発田,27.3,27.3,0,,新潟→新発田,27.3
陸羽東線,小牛田,新庄,94.1,0,94.1,post_add,未乗,
陸羽西線,新庄,余目,43,0,43,post_add,未乗,
信越線,高崎,横川,29.7,29.7,0,,高崎→横川,29.7
信越線,篠ノ井,長野,9.3,9.3,0,,篠ノ井→長野,9.3
信越線,直江津,新潟,136.3,136.3,0,,直江津→新潟,136.3
北陸新幹線,高崎,上越妙高,176.9,176.9,0,,高崎→上越妙高,176.9
飯山線,豊野,越後川口,96.7,96.7,0,,豊野→越後川口,96.7
