鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
東武鉄道,伊勢崎線,浅草,伊勢崎,114.5,107.4,7.1,post_add,北千住→伊勢崎,107.4
東武鉄道,亀戸線,亀戸,曳舟,3.4,0,3.4,post_add,未乗,
東武鉄道,大師線,西新井,大師前,1,0,1,post_add,未乗,
東武鉄道,桐生線,太田,赤城,20.3,0,20.3,post_add,未乗,
東武鉄道,小泉線,館林,西小泉,12,0,12,post_add,未乗,
東武鉄道,小泉線,太田,東小泉,6.4,0,6.4,post_add,未乗,
東武鉄道,佐野線,館林,葛生,22.1,0,22.1,post_add,未乗,
東武鉄道,日光線,東武動物公園,東武日光,94.5,94.5,0,,東武動物公園→東武日光,94.5
東武鉄道,鬼怒川線,下今市,新藤原,16.2,16.2,0,,下今市→新藤原,16.2
東武鉄道,宇都宮線,新栃木,東武宇都宮,24.3,0,24.3,post_add,未乗,
東武鉄道,野田線,大宮,船橋,62.7,0,62.7,post_add,未乗,
東武鉄道,東上本線,池袋,寄居,75,16.4,58.6,post_add,池袋→朝霞台,16.4
東武鉄道,越生線,坂戸,越生,10.9,0,10.9,post_add,未乗,
西武鉄道,池袋線,池袋,吾野,57.8,0,57.8,post_add,未乗,
西武鉄道,西武秩父線,吾野,西武秩父,19,0,19,post_add,未乗,
西武鉄道,新宿線,西武新宿,本川越,47.5,0,47.5,post_add,未乗,
西武鉄道,西武園線,東村山,西武園,2.4,0,2.4,post_add,未乗,
西武鉄道,国分寺線,国分寺,東村山,7.8,0,7.8,post_add,未乗,
西武鉄道,多摩湖線,国分寺,多摩湖,9.2,0,9.2,post_add,未乗,
西武鉄道,西武有楽町線,練馬,小竹向原,2.6,0,2.6,post_add,未乗,
西武鉄道,豊島線,練馬,豊島園,1,0,1,post_add,未乗,
西武鉄道,狭山線,西所沢,西武球場前,4.2,0,4.2,post_add,未乗,
西武鉄道,拝島線,小平,拝島,14.3,0,14.3,post_add,未乗,
西武鉄道,多摩川線,武蔵境,是政,8,0,8,post_add,未乗,
西武鉄道,山口線,多摩湖,西武球場前,2.8,0,2.8,post_add,未乗,
京成電鉄,本線,京成上野,成田空港,69.3,67.2,2.1,post_add,日暮里→成田空港,67.2
京成電鉄,東成田線,[駒井野分岐点],東成田,1.1,0,1.1,post_add,未乗,
京成電鉄,押上線,押上,青砥,5.7,0,5.7,post_add,未乗,
京成電鉄,千葉線,京成津田沼,千葉中央,12.9,0,12.9,post_add,未乗,
京成電鉄,千原線,千葉中央,ちはら台,10.9,0,10.9,post_add,未乗,
京成電鉄,金町線,京成高砂,京成金町,2.5,0,2.5,post_add,未乗,
京成電鉄,成田空港線,京成高砂,成田空港,51.4,51.4,0,,京成高砂→成田空港,51.4
京成電鉄,松戸線,松戸,京成津田沼,26.5,0,26.5,post_add,未乗,
京王電鉄,京王線,新宿,京王八王子,37.9,0,37.9,post_add,未乗,
京王電鉄,相模原線,調布,橋本,22.6,0,22.6,post_add,未乗,
京王電鉄,高尾線,北野,高尾山口,8.6,0,8.6,post_add,未乗,
京王電鉄,競馬場線,東府中,府中競馬正門前,0.9,0,0.9,post_add,未乗,
京王電鉄,動物園線,高幡不動,多摩動物公園,2,0,2,post_add,未乗,
京王電鉄,井の頭線,渋谷,吉祥寺,12.7,0,12.7,post_add,未乗,
小田急電鉄,小田原線,新宿,小田原,82.5,82.5,0,,新宿→小田原,82.5
小田急電鉄,江ノ島線,[相模大野分岐点],片瀬江ノ島,27.4,0,27.4,post_add,未乗,
小田急電鉄,多摩線,新百合ヶ丘,唐木田,10.6,0,10.6,post_add,未乗,
東急電鉄,東横線,渋谷,横浜,24.2,0,24.2,post_add,未乗,
東急電鉄,目黒線,目黒,田園調布,6.5,0,6.5,post_add,未乗,
東急電鉄,東急新横浜線,日吉,新横浜,5.8,0,5.8,post_add,未乗,
東急電鉄,東急多摩川線,多摩川,蒲田,5.6,0,5.6,post_add,未乗,
東急電鉄,大井町線,大井町,二子玉川,10.4,0,10.4,post_add,未乗,
東急電鉄,池上線,五反田,蒲田,10.9,0,10.9,post_add,未乗,
東急電鉄,田園都市線,渋谷,中央林間,31.5,0,31.5,post_add,未乗,
東急電鉄,こどもの国線,長津田,こどもの国,3.4,0,3.4,post_add,未乗,
東急電鉄,世田谷線,三軒茶屋,下高井戸,5,0,5,post_add,未乗,
京成電鉄,本線,泉岳寺,浦賀,56.7,0,56.7,post_add,未乗,
京浜急行電鉄,空港線,京急蒲田,羽田空港第1・第2ターミナル,6.5,6.5,0,,京急蒲田→羽田空港第1・第2ターミナル,6.5
東武鉄道,大師線,京急川崎,小島新田,4.5,0,4.5,post_add,未乗,
京浜急行電鉄,逗子線,金沢八景,逗子・葉山,5.9,5.9,0,,金沢八景→逗子・葉山,5.9
京浜急行電鉄,久里浜線,堀ノ内,三崎口,13.4,13.4,0,,堀ノ内→三崎口,13.4
京成電鉄,本線,横浜,海老名,24.6,0,24.6,post_add,未乗,
相模鉄道,いずみ野線,二俣川,湘南台,11.3,0,11.3,post_add,未乗,
相模鉄道,相鉄新横浜線,新横浜,西谷,6.3,0,6.3,post_add,未乗,
東京地下鉄,銀座線,浅草,渋谷,14.2,0,14.2,post_add,未乗,
東京地下鉄,丸ノ内線,池袋,荻窪,24.2,0,24.2,post_add,未乗,
東京地下鉄,丸ノ内線方南町支線,中野坂上,方南町,3.2,0,3.2,post_add,未乗,
東京地下鉄,日比谷線,北千住,中目黒,20.3,0,20.3,post_add,未乗,
東京地下鉄,東西線,中野,西船橋,30.8,0,30.8,post_add,未乗,
東京地下鉄,千代田線,代々木上原,北綾瀬,24,0,24,post_add,未乗,
東京地下鉄,有楽町線,小竹向原,新木場,20,0,20,post_add,未乗,
東京地下鉄,半蔵門線,渋谷,押上,16.8,0,16.8,post_add,未乗,
東京地下鉄,南北線,目黒,赤羽岩淵,21.3,0,21.3,post_add,未乗,
東京地下鉄,副都心線,和光市,渋谷,20.2,0,20.2,post_add,未乗,
名古屋鉄道,名古屋本線,豊橋,名鉄岐阜,99.8,68,31.8,post_add,豊橋←名鉄名古屋,68
名古屋鉄道,西尾線,新安城,吉良吉田,24.7,0,24.7,post_add,未乗,
名古屋鉄道,三河線,猿投,碧南,39.8,14.6,25.2,post_add,刈谷→碧南,14.6
名古屋鉄道,豊田線,梅坪,赤池,15.2,0,15.2,post_add,未乗,
名古屋鉄道,蒲郡線,吉良吉田,蒲郡,17.6,0,17.6,post_add,未乗,
名古屋鉄道,常滑線,神宮前,常滑,29.3,17,12.3,post_add,太田川→常滑,17
名古屋鉄道,築港線,大江,東名古屋港,1.5,0,1.5,post_add,未乗,
名古屋鉄道,河和線,太田川,河和,28.8,22.3,6.5,post_add,太田川→富貴,22.3
名古屋鉄道,知多新線,富貴,内海,13.9,13.9,0,,富貴→内海,13.9
名古屋鉄道,瀬戸線,栄町,尾張瀬戸,20.6,0,20.6,post_add,未乗,
名古屋鉄道,小牧線,上飯田,犬山,20.6,20.6,0,,上飯田→犬山,20.6
